sfmikeyy,d_age,39
sfmikeyy,d_city,Portland
sfmikeyy,d_city,United States
sfmikeyy,d_orientation,Bisexual
sfmikeyy,d_gender,Man
sfmikeyy,d_relationship,Single
sfmikeyy,d_bodytype,A little
sfmikeyy,d_ethnicity,Asian
sfmikeyy,d_languages,English
sfmikeyy,d_religion_seriosity,laughing about it
sfmikeyy,d_smokes,Never
sfmikeyy,d_drinks,Socially
sfmikeyy,d_drugs,No
sfmikeyy,d_offspring_desires,might want kids
sfmikeyy,lf_location,near me
sfmikeyy,lf_min_age,24
sfmikeyy,lf_max_age,46
sfmikeyy,lf_for,short & long term dating and new friends
sfmikeyy,p_kinky,50
sfmikeyy,p_trusting,50
sfmikeyy,p_adven,38
sfmikeyy,p_aggressive,30
sfmikeyy,p_lit,26
sfmikeyy,p_sprit,-18
sfmikeyy,p_good-natured,-26
sfmikeyy,p_energetic,-68
sfmikeyy,q42442,Yes.
sfmikeyy,q17,No
sfmikeyy,q65,No
sfmikeyy,q136,No
sfmikeyy,q29829,Always
sfmikeyy,q55344,No.
sfmikeyy,q16,Yes
sfmikeyy,q15752,Very important
sfmikeyy,q34113,No problem
sfmikeyy,q85835,Starving children.
sfmikeyy,q612,"No, creationism has no place in schools"
sfmikeyy,q22944,"Some things, yes."
sfmikeyy,q39185,book burning
sfmikeyy,q48947,No.
sfmikeyy,q142,Yes
sfmikeyy,q19776,Before 10
sfmikeyy,q838,Yes
sfmikeyy,q868,Sometimes
sfmikeyy,q42329,Only as a last resort for survival
sfmikeyy,q175,No
sfmikeyy,q226,the right to bear arms
sfmikeyy,q455,No
sfmikeyy,q29211,"No, it's not as bad."
sfmikeyy,q37708,Acceptable.
sfmikeyy,q44384,It's all fine by me.
sfmikeyy,q63409,Yes.
sfmikeyy,q7204,Yes
sfmikeyy,q19748,I have no problem with them. You go girls!
sfmikeyy,q17017,Never
sfmikeyy,q70,No
sfmikeyy,q393,No
sfmikeyy,q18763,"Yes, I always try to do the right thing."
sfmikeyy,q46927,No.
sfmikeyy,q53312,Weapons.
sfmikeyy,q24125,No
sfmikeyy,q36098,Go to the appropriate law enforcement agency.
sfmikeyy,q18797,"No, I'd trust them and that would be invasive."
sfmikeyy,q166,To the left (democrat in the US)
sfmikeyy,q37314,More and better implemented social programs
sfmikeyy,q70135,The porn library.
sfmikeyy,q963,No
sfmikeyy,q20662,No
sfmikeyy,q58812,No
sfmikeyy,q1618,Yes
sfmikeyy,q21,No
sfmikeyy,q32,I have tried it.
sfmikeyy,q12560,Yes
sfmikeyy,q18966,Hard!
sfmikeyy,q48347,No
sfmikeyy,q29,be tied up during sex
sfmikeyy,q14913,No
sfmikeyy,q20976,"I guess, but It doesn't change how I feel."
sfmikeyy,q12,No
sfmikeyy,q29384,Allow? I enjoy it.
sfmikeyy,q30115,I wouldn't.
sfmikeyy,q665,Bring out the toys!
sfmikeyy,q1401,"Yes, and I enjoyed myself."
sfmikeyy,q30169,Love it!
sfmikeyy,q35203,Yes
sfmikeyy,q35355,Very open. I'll try anything once.
sfmikeyy,q324,I disagree.
sfmikeyy,q12964,Yes
sfmikeyy,q42524,Yes.
sfmikeyy,q28742,Yes
sfmikeyy,q38320,Yes.
sfmikeyy,q58162,"Yes, but only with the living."
sfmikeyy,q60726,Yes.
sfmikeyy,q9628,Yes
sfmikeyy,q17808,No
sfmikeyy,q86366,Yes.
sfmikeyy,q26469,Yes
sfmikeyy,q49345,Yes.
sfmikeyy,q16,Yes
sfmikeyy,q17,No
sfmikeyy,q393,No
sfmikeyy,q24125,No
sfmikeyy,q53312,Weapons.
sfmikeyy,q35281,I don't worry about such things
sfmikeyy,q19915,"Yes, I love the Tao Te Ching."
sfmikeyy,q41,Not at all important
sfmikeyy,q156913,No
sfmikeyy,q52789,Humans evolved from other species.
sfmikeyy,q42,No
sfmikeyy,q44,False
sfmikeyy,q15889,Science
sfmikeyy,q411,Yes
sfmikeyy,q156914,No
sfmikeyy,q70135,The porn library.
sfmikeyy,q612,"No, creationism has no place in schools"
sfmikeyy,q87,Yes
sfmikeyy,q80,"I've done drugs in the past, but no longer."
sfmikeyy,q53611,Frequently.
sfmikeyy,q158,No
sfmikeyy,q13006,No
sfmikeyy,q9688,"Yes, but only soft stuff like marijuana"
sfmikeyy,q20418,Yes
sfmikeyy,q1062,Usually daily. I skip some.
sfmikeyy,q15030,Books
sfmikeyy,q23834,No
sfmikeyy,q79,"I smoked in the past, but no longer."
sfmikeyy,q23618,Sort of - I need friends outside of my partner
sfmikeyy,q37693,"Yes, but I would not play that much."
sfmikeyy,q47005,Either would be equally fine.
sfmikeyy,q212814,Somewhat important
sfmikeyy,q325,Yes
sfmikeyy,q12970,Twice or more a day
sfmikeyy,q73,Big city
sfmikeyy,q1119,No
sfmikeyy,q77,Sometimes
sfmikeyy,q40441,Maybe a little bit.
sfmikeyy,q212813,Liberal / Left-wing
sfmikeyy,q55,No
sfmikeyy,q43261,I consider their opinion but go my own way.
sfmikeyy,q83547,Very important.
sfmikeyy,q16713,Yes
sfmikeyy,q18834,Knowledge
sfmikeyy,q442,Bad
sfmikeyy,q24282,Very inclined
sfmikeyy,q27672,Critically important.
sfmikeyy,q36519,Often.
sfmikeyy,q1766,Yes
sfmikeyy,q17002,I like them quite a bit!
sfmikeyy,q33043,Shower
sfmikeyy,q179268,No
sfmikeyy,q19915,"Yes, I love the Tao Te Ching."
